DroneID,PosX,PosY,PosZ,VelX,VelY,VelZ,ThrustZ
0,5.89,-0.67,7.57,4.22,-0.21,-0.54,5.35
1,8.98,-1.25,7.57,3.16,-0.80,-0.54,5.35
2,12.24,0.08,7.57,3.52,0.17,-0.54,5.35
3,6.14,2.81,7.57,3.85,-0.00,-0.54,5.35
4,9.49,2.23,7.57,2.48,0.10,-0.54,5.35
0,6.25,-0.71,7.52,3.61,-0.37,-0.50,5.74
1,9.31,-1.28,7.52,3.30,-0.24,-0.50,5.74
2,12.58,0.05,7.52,3.41,-0.22,-0.50,5.74
3,6.48,2.82,7.52,3.45,0.10,-0.50,5.74
4,9.80,2.17,7.52,3.06,-0.58,-0.50,5.74
0,6.56,-0.70,7.47,3.08,0.09,-0.47,6.10
1,9.62,-1.31,7.47,3.14,-0.34,-0.47,6.10
2,12.92,0.01,7.47,3.33,-0.48,-0.47,6.10
3,6.77,2.79,7.47,2.86,-0.25,-0.47,6.10
4,10.11,2.15,7.47,3.15,-0.18,-0.47,6.10
0,6.83,-0.67,7.43,2.72,0.27,-0.44,6.44
1,9.98,-1.36,7.43,3.57,-0.50,-0.44,6.44
2,12.88,0.01,7.43,-0.33,0.07,-0.44,6.44
3,7.02,2.75,7.43,2.57,-0.47,-0.44,6.44
4,10.47,2.12,7.43,3.60,-0.27,-0.44,6.44
0,7.09,-0.62,7.38,2.60,0.48,-0.42,6.76
1,10.37,-1.36,7.38,3.92,-0.00,-0.42,6.76
2,12.96,0.00,7.38,0.78,-0.09,-0.42,6.76
3,7.33,2.71,7.38,3.08,-0.34,-0.42,6.76
4,10.75,2.08,7.38,2.82,-0.43,-0.42,6.76
0,7.37,-0.58,7.35,2.80,0.43,-0.39,7.06
1,10.71,-1.41,7.35,3.44,-0.52,-0.39,7.06
2,13.06,-0.00,7.35,0.99,-0.06,-0.39,7.06
3,7.67,2.69,7.35,3.34,-0.21,-0.39,7.06
4,11.03,2.08,7.35,2.80,0.01,-0.39,7.06
0,7.64,-0.52,7.31,2.68,0.58,-0.37,7.34
1,11.03,-1.46,7.31,3.19,-0.51,-0.37,7.34
2,13.15,-0.01,7.31,0.91,-0.05,-0.37,7.34
3,7.97,2.69,7.31,3.01,-0.04,-0.37,7.34
4,11.31,2.05,7.31,2.71,-0.28,-0.37,7.34
0,7.95,-0.53,7.27,3.13,-0.03,-0.35,7.61
1,11.27,-1.49,7.27,2.39,-0.29,-0.35,7.61
2,13.25,-0.02,7.27,1.04,-0.10,-0.35,7.61
3,8.24,2.70,7.27,2.77,0.08,-0.35,7.61
4,11.62,1.96,7.27,3.11,-0.97,-0.35,7.61
0,8.24,-0.50,7.24,2.90,0.26,-0.33,7.86
1,11.50,-1.57,7.24,2.24,-0.81,-0.33,7.86
2,13.35,-0.02,7.24,0.98,-0.07,-0.33,7.86
3,8.55,2.70,7.24,3.08,0.06,-0.33,7.86
4,11.91,1.93,7.24,2.89,-0.30,-0.33,7.86
0,8.51,-0.51,7.21,2.68,-0.08,-0.31,8.09
1,11.78,-1.59,7.21,2.82,-0.17,-0.31,8.09
2,13.45,-0.03,7.21,0.98,-0.08,-0.31,8.09
3,8.83,2.72,7.21,2.79,0.13,-0.31,8.09
4,12.12,1.89,7.21,2.15,-0.31,-0.31,8.09
0,8.75,-0.54,7.18,2.42,-0.35,-0.29,8.31
1,11.98,-1.59,7.18,2.05,-0.01,-0.29,8.31
2,13.55,-0.04,7.18,0.99,-0.05,-0.29,8.31
3,9.09,2.73,7.18,2.56,0.17,-0.29,8.31
4,12.29,1.87,7.18,1.71,-0.24,-0.29,8.31
0,9.03,-0.61,7.15,2.79,-0.63,-0.27,8.52
1,12.24,-1.60,7.15,2.58,-0.05,-0.27,8.52
2,13.60,0.03,7.15,0.48,0.69,-0.27,8.52
3,9.31,2.76,7.15,2.28,0.30,-0.27,8.52
4,12.48,1.89,7.15,1.84,0.23,-0.27,8.52
0,9.34,-0.63,7.13,3.11,-0.27,-0.25,8.72
1,12.54,-1.60,7.13,2.93,-0.02,-0.25,8.72
2,13.69,0.03,7.13,0.96,-0.01,-0.25,8.72
3,9.53,2.79,7.13,2.13,0.24,-0.25,8.72
4,12.67,1.95,7.13,1.91,0.57,-0.25,8.72
0,9.62,-0.62,7.10,2.81,0.17,-0.24,8.90
1,12.79,-1.61,7.10,2.56,-0.15,-0.24,8.90
2,13.78,0.04,7.10,0.91,0.07,-0.24,8.90
3,9.73,2.80,7.10,2.01,0.18,-0.24,8.90
4,12.87,1.98,7.10,2.00,0.27,-0.24,8.90
0,9.88,-0.57,7.08,2.58,0.49,-0.22,9.07
1,13.08,-1.56,7.08,2.93,0.51,-0.22,9.07
2,13.83,0.13,7.08,0.42,0.95,-0.22,9.07
3,9.92,2.82,7.08,1.89,0.13,-0.22,9.07
4,13.06,1.98,7.08,1.96,-0.00,-0.22,9.07
0,10.11,-0.55,7.06,2.33,0.13,-0.21,9.23
1,13.38,-1.45,7.06,3.01,1.13,-0.21,9.23
2,13.90,0.15,7.06,0.73,0.14,-0.21,9.23
3,10.09,2.83,7.06,1.78,0.09,-0.21,9.23
4,13.25,1.97,7.06,1.89,-0.12,-0.21,9.23
0,10.34,-0.51,7.04,2.24,0.45,-0.20,9.39
1,13.64,-1.46,7.04,2.56,-0.14,-0.20,9.39
2,13.97,0.17,7.04,0.70,0.26,-0.20,9.39
3,10.32,2.77,7.04,2.21,-0.60,-0.20,9.39
4,13.38,2.02,7.04,1.26,0.58,-0.20,9.39
0,10.55,-0.50,7.02,2.16,0.11,-0.19,9.53
1,13.82,-1.55,7.02,1.77,-0.87,-0.19,9.53
2,14.02,0.20,7.02,0.53,0.27,-0.19,9.53
3,10.51,2.72,7.02,1.93,-0.41,-0.19,9.53
4,13.51,2.11,7.02,1.35,0.88,-0.19,9.53
0,10.75,-0.46,7.01,2.03,0.38,-0.18,9.66
1,13.93,-1.62,7.01,1.17,-0.70,-0.18,9.66
2,14.07,0.22,7.01,0.43,0.16,-0.18,9.66
3,10.74,2.68,7.01,2.27,-0.44,-0.18,9.66
4,13.66,2.16,7.01,1.46,0.48,-0.18,9.66
0,10.89,-0.47,6.99,1.38,-0.06,-0.17,9.79
1,14.01,-1.67,6.99,0.74,-0.54,-0.17,9.79
2,14.14,0.13,6.99,0.77,-0.87,-0.17,9.79
3,10.98,2.64,6.99,2.48,-0.45,-0.17,9.79
4,13.82,2.18,6.99,1.56,0.20,-0.17,9.79
0,10.98,-0.50,6.97,0.88,-0.35,-0.16,9.91
1,14.10,-1.74,6.97,0.92,-0.64,-0.16,9.91
2,14.22,0.16,6.97,0.82,0.26,-0.16,9.91
3,11.18,2.60,6.97,1.95,-0.36,-0.16,9.91
4,13.98,2.19,6.97,1.65,0.06,-0.16,9.91
0,11.03,-0.56,6.96,0.52,-0.55,-0.15,10.02
1,14.20,-1.80,6.96,1.00,-0.65,-0.15,10.02
2,14.30,0.18,6.96,0.71,0.24,-0.15,10.02
3,11.34,2.57,6.96,1.57,-0.33,-0.15,10.02
4,14.15,2.18,6.96,1.67,-0.11,-0.15,10.02
0,11.10,-0.65,6.94,0.66,-0.94,-0.14,10.13
1,14.30,-1.87,6.94,1.02,-0.62,-0.14,10.13
2,14.30,0.28,6.94,0.06,1.00,-0.14,10.13
3,11.46,2.47,6.94,1.26,-0.92,-0.14,10.13
4,14.31,2.16,6.94,1.65,-0.20,-0.14,10.13
0,11.13,-0.75,6.93,0.35,-0.96,-0.13,10.22
1,14.41,-1.92,6.93,1.04,-0.52,-0.13,10.22
2,14.35,0.28,6.93,0.49,0.02,-0.13,10.22
3,11.57,2.40,6.93,1.10,-0.78,-0.13,10.22
4,14.41,2.05,6.93,1.01,-1.08,-0.13,10.22
0,11.14,-0.84,6.92,0.12,-0.97,-0.12,10.32
1,14.51,-1.97,6.92,1.08,-0.53,-0.12,10.32
2,14.44,0.24,6.92,0.89,-0.44,-0.12,10.32
3,11.62,2.36,6.92,0.50,-0.33,-0.12,10.32
4,14.53,1.98,6.92,1.18,-0.63,-0.12,10.32
0,11.19,-0.96,6.91,0.45,-1.19,-0.11,10.41
1,14.57,-1.92,6.91,0.59,0.53,-0.11,10.41
2,14.43,0.22,6.91,-0.13,-0.23,-0.11,10.41
3,11.68,2.33,6.91,0.59,-0.38,-0.11,10.41
4,14.60,1.96,6.91,0.70,-0.23,-0.11,10.41
0,11.26,-1.08,6.90,0.75,-1.21,-0.11,10.49
1,14.58,-1.88,6.90,0.10,0.38,-0.11,10.49
2,14.51,0.09,6.90,0.80,-1.31,-0.11,10.49
3,11.75,2.26,6.90,0.70,-0.67,-0.11,10.49
4,14.63,1.97,6.90,0.29,0.07,-0.11,10.49
0,11.29,-1.20,6.89,0.26,-1.12,-0.10,10.56
1,14.62,-1.88,6.89,0.38,0.02,-0.10,10.56
2,14.54,0.21,6.89,0.39,1.23,-0.10,10.56
3,11.82,2.19,6.89,0.68,-0.65,-0.10,10.56
4,14.69,1.98,6.89,0.60,0.13,-0.10,10.56
0,11.35,-1.27,6.88,0.56,-0.73,-0.09,10.64
1,14.67,-1.79,6.88,0.47,0.89,-0.09,10.64
2,14.52,0.19,6.88,-0.20,-0.23,-0.09,10.64
3,11.83,2.17,6.88,0.10,-0.21,-0.09,10.64
4,14.78,2.01,6.88,0.90,0.26,-0.09,10.64
0,11.42,-1.35,6.87,0.74,-0.79,-0.09,10.70
1,14.73,-1.75,6.87,0.66,0.42,-0.09,10.70
2,14.56,0.31,6.87,0.40,1.22,-0.09,10.70
3,11.91,2.14,6.87,0.84,-0.34,-0.09,10.70
4,14.88,2.03,6.87,1.03,0.27,-0.09,10.70
0,11.56,-1.35,6.86,1.40,-0.04,-0.08,10.77
1,14.75,-1.72,6.86,0.18,0.31,-0.08,10.77
2,14.59,0.16,6.86,0.21,-1.51,-0.08,10.77
3,11.93,2.07,6.86,0.18,-0.69,-0.08,10.77
4,15.00,2.07,6.86,1.15,0.33,-0.08,10.77
0,11.63,-1.37,6.85,0.73,-0.22,-0.08,10.83
1,14.80,-1.72,6.85,0.48,-0.03,-0.08,10.83
2,14.65,0.15,6.85,0.64,-0.03,-0.08,10.83
3,11.95,1.95,6.85,0.22,-1.19,-0.08,10.83
4,15.12,2.10,6.85,1.26,0.36,-0.08,10.83
0,11.66,-1.35,6.85,0.32,0.19,-0.07,10.89
1,14.86,-1.75,6.85,0.59,-0.30,-0.07,10.89
2,14.67,0.13,6.85,0.16,-0.23,-0.07,10.89
3,11.99,1.85,6.85,0.35,-1.01,-0.07,10.89
4,15.24,2.13,6.85,1.21,0.30,-0.07,10.89
0,11.67,-1.31,6.84,0.03,0.49,-0.07,10.94
1,14.93,-1.79,6.84,0.67,-0.40,-0.07,10.94
2,14.73,0.14,6.84,0.61,0.06,-0.07,10.94
3,11.99,1.80,6.84,-0.01,-0.54,-0.07,10.94
4,15.36,2.16,6.84,1.15,0.24,-0.07,10.94
0,11.70,-1.30,6.83,0.34,0.03,-0.07,10.99
1,15.00,-1.83,6.83,0.69,-0.44,-0.07,10.99
2,14.74,0.17,6.83,0.11,0.37,-0.07,10.99
3,11.97,1.78,6.83,-0.23,-0.20,-0.07,10.99
4,15.44,2.09,6.83,0.79,-0.68,-0.07,10.99
0,11.70,-1.33,6.83,0.02,-0.23,-0.06,11.04
1,15.01,-1.87,6.83,0.15,-0.36,-0.06,11.04
2,14.80,0.08,6.83,0.64,-0.98,-0.06,11.04
3,11.92,1.79,6.83,-0.45,0.12,-0.06,11.04
4,15.44,1.95,6.83,-0.01,-1.38,-0.06,11.04
0,11.74,-1.37,6.82,0.33,-0.48,-0.06,11.08
1,14.99,-1.90,6.82,-0.26,-0.35,-0.06,11.08
2,14.86,-0.03,6.82,0.61,-1.03,-0.06,11.08
3,11.93,1.82,6.82,0.09,0.28,-0.06,11.08
4,15.40,1.86,6.82,-0.38,-0.87,-0.06,11.08
0,11.73,-1.43,6.81,-0.02,-0.51,-0.05,11.12
1,14.98,-1.95,6.81,-0.01,-0.47,-0.05,11.12
2,14.93,-0.13,6.81,0.64,-1.06,-0.05,11.12
3,11.91,1.80,6.81,-0.18,-0.21,-0.05,11.12
4,15.39,1.81,6.81,-0.08,-0.48,-0.05,11.12
0,11.71,-1.42,6.81,-0.22,0.06,-0.05,11.16
1,14.94,-2.00,6.81,-0.43,-0.50,-0.05,11.16
2,14.94,-0.10,6.81,0.12,0.36,-0.05,11.16
3,11.93,1.77,6.81,0.20,-0.30,-0.05,11.16
4,15.38,1.69,6.81,-0.16,-1.20,-0.05,11.16
0,11.66,-1.44,6.81,-0.48,-0.18,-0.05,11.20
1,14.93,-2.07,6.81,-0.11,-0.65,-0.05,11.20
2,14.96,-0.08,6.81,0.19,0.17,-0.05,11.20
3,12.02,1.68,6.81,0.87,-0.87,-0.05,11.20
4,15.39,1.64,6.81,0.11,-0.57,-0.05,11.20
0,11.67,-1.39,6.80,0.03,0.52,-0.05,11.23
1,14.94,-2.13,6.80,0.05,-0.62,-0.05,11.23
2,14.97,-0.22,6.80,0.09,-1.43,-0.05,11.23
3,12.06,1.64,6.80,0.41,-0.41,-0.05,11.23
4,15.39,1.52,6.80,-0.02,-1.16,-0.05,11.23
0,11.69,-1.38,6.80,0.22,0.03,-0.04,11.26
1,14.95,-2.19,6.80,0.15,-0.65,-0.04,11.26
2,15.03,-0.24,6.80,0.66,-0.17,-0.04,11.26
3,12.07,1.63,6.80,0.11,-0.04,-0.04,11.26
4,15.40,1.47,6.80,0.13,-0.53,-0.04,11.26
0,11.73,-1.32,6.79,0.46,0.65,-0.04,11.29
1,14.97,-2.16,6.79,0.23,0.37,-0.04,11.29
2,15.00,-0.25,6.79,-0.37,-0.10,-0.04,11.29
3,12.17,1.62,6.79,0.96,-0.12,-0.04,11.29
4,15.42,1.46,6.79,0.20,-0.05,-0.04,11.29
0,11.79,-1.31,6.79,0.51,0.11,-0.04,11.32
1,14.95,-2.14,6.79,-0.24,0.17,-0.04,11.32
2,15.06,-0.27,6.79,0.68,-0.17,-0.04,11.32
3,12.26,1.58,6.79,0.97,-0.45,-0.04,11.32
4,15.46,1.50,6.79,0.39,0.34,-0.04,11.32
0,11.85,-1.33,6.79,0.61,-0.21,-0.04,11.35
1,14.95,-2.05,6.79,-0.01,0.94,-0.04,11.35
2,15.14,-0.28,6.79,0.77,-0.15,-0.04,11.35
3,12.31,1.57,6.79,0.46,-0.03,-0.04,11.35
4,15.50,1.55,6.79,0.41,0.54,-0.04,11.35
0,11.86,-1.35,6.78,0.10,-0.27,-0.03,11.38
1,14.95,-2.01,6.78,0.05,0.34,-0.03,11.38
2,15.22,-0.40,6.78,0.74,-1.18,-0.03,11.38
3,12.32,1.60,6.78,0.10,0.25,-0.03,11.38
4,15.54,1.63,6.78,0.41,0.74,-0.03,11.38
0,11.82,-1.39,6.78,-0.35,-0.36,-0.03,11.40
1,14.97,-1.90,6.78,0.20,1.08,-0.03,11.40
2,15.28,-0.26,6.78,0.61,1.42,-0.03,11.40
3,12.35,1.61,6.78,0.31,0.15,-0.03,11.40
4,15.58,1.70,6.78,0.42,0.77,-0.03,11.40
0,11.83,-1.35,6.78,0.10,0.43,-0.03,11.42
1,14.99,-1.87,6.78,0.12,0.34,-0.03,11.42
2,15.32,-0.27,6.78,0.40,-0.08,-0.03,11.42
3,12.39,1.62,6.78,0.43,0.03,-0.03,11.42
4,15.57,1.79,6.78,-0.14,0.84,-0.03,11.42
0,11.86,-1.31,6.77,0.30,0.35,-0.03,11.44
1,14.98,-1.88,6.77,-0.03,-0.13,-0.03,11.44
2,15.32,-0.24,6.77,0.03,0.26,-0.03,11.44
3,12.39,1.64,6.77,0.02,0.28,-0.03,11.44
4,15.56,1.86,6.77,-0.05,0.77,-0.03,11.44
0,11.91,-1.28,6.77,0.44,0.30,-0.03,11.46
1,14.97,-1.93,6.77,-0.12,-0.43,-0.03,11.46
2,15.36,-0.24,6.77,0.46,-0.03,-0.03,11.46
3,12.37,1.68,6.77,-0.22,0.36,-0.03,11.46
4,15.56,1.93,6.77,0.01,0.68,-0.03,11.46
0,11.96,-1.26,6.77,0.54,0.27,-0.02,11.48
1,14.95,-1.99,6.77,-0.19,-0.60,-0.02,11.48
2,15.36,-0.22,6.77,0.00,0.28,-0.02,11.48
3,12.38,1.69,6.77,0.11,0.08,-0.02,11.48
4,15.57,1.99,6.77,0.02,0.58,-0.02,11.48
0,12.01,-1.24,6.77,0.53,0.18,-0.02,11.50
1,14.96,-1.95,6.77,0.04,0.40,-0.02,11.50
2,15.37,-0.11,6.77,0.08,1.10,-0.02,11.50
3,12.42,1.68,6.77,0.33,-0.13,-0.02,11.50
4,15.57,2.05,6.77,0.07,0.59,-0.02,11.50
0,12.12,-1.24,6.76,1.12,-0.02,-0.02,11.51
1,14.96,-1.94,6.76,-0.01,0.06,-0.02,11.51
2,15.42,-0.12,6.76,0.50,-0.15,-0.02,11.51
3,12.41,1.62,6.76,-0.13,-0.59,-0.02,11.51
4,15.58,2.10,6.76,0.10,0.53,-0.02,11.51
0,12.17,-1.19,6.76,0.41,0.45,-0.02,11.53
1,14.95,-1.96,6.76,-0.04,-0.20,-0.02,11.53
2,15.53,-0.12,6.76,1.12,0.07,-0.02,11.53
3,12.36,1.52,6.76,-0.43,-0.93,-0.02,11.53
4,15.60,2.16,6.76,0.12,0.56,-0.02,11.53
0,12.28,-1.17,6.76,1.13,0.19,-0.02,11.54
1,14.94,-2.01,6.76,-0.14,-0.45,-0.02,11.54
2,15.51,-0.20,6.76,-0.20,-0.85,-0.02,11.54
3,12.36,1.45,6.76,-0.01,-0.75,-0.02,11.54
4,15.61,2.22,6.76,0.14,0.66,-0.02,11.54
0,12.37,-1.08,6.76,0.95,0.91,-0.02,11.56
1,14.92,-2.06,6.76,-0.14,-0.56,-0.02,11.56
2,15.59,-0.16,6.76,0.71,0.40,-0.02,11.56
3,12.38,1.39,6.76,0.21,-0.57,-0.02,11.56
4,15.62,2.27,6.76,0.08,0.49,-0.02,11.56
0,12.46,-1.07,6.76,0.89,0.19,-0.02,11.57
1,14.94,-2.03,6.76,0.18,0.34,-0.02,11.57
2,15.63,-0.22,6.76,0.43,-0.60,-0.02,11.57
3,12.42,1.35,6.76,0.43,-0.42,-0.02,11.57
4,15.57,2.30,6.76,-0.51,0.26,-0.02,11.57
0,12.48,-0.99,6.75,0.14,0.75,-0.02,11.58
1,14.95,-2.03,6.75,0.05,-0.03,-0.02,11.58
2,15.72,-0.18,6.75,0.91,0.36,-0.02,11.58
3,12.48,1.32,6.75,0.56,-0.30,-0.02,11.58
4,15.53,2.33,6.75,-0.38,0.31,-0.02,11.58
0,12.45,-0.95,6.75,-0.29,0.36,-0.01,11.59
1,14.91,-1.94,6.75,-0.37,0.94,-0.01,11.59
2,15.81,-0.15,6.75,0.87,0.33,-0.01,11.59
3,12.60,1.32,6.75,1.19,-0.03,-0.01,11.59
4,15.44,2.34,6.75,-0.87,0.09,-0.01,11.59
0,12.38,-0.95,6.75,-0.63,0.07,-0.01,11.61
1,14.87,-1.89,6.75,-0.42,0.46,-0.01,11.61
2,15.89,-0.04,6.75,0.86,1.07,-0.01,11.61
3,12.70,1.31,6.75,1.05,-0.05,-0.01,11.61
4,15.38,2.35,6.75,-0.65,0.13,-0.01,11.61
0,12.34,-0.96,6.75,-0.40,-0.09,-0.01,11.62
1,14.75,-1.85,6.75,-1.13,0.46,-0.01,11.62
2,16.00,-0.06,6.75,1.07,-0.15,-0.01,11.62
3,12.74,1.32,6.75,0.39,0.11,-0.01,11.62
4,15.33,2.38,6.75,-0.45,0.26,-0.01,11.62
0,12.32,-0.97,6.75,-0.23,-0.10,-0.01,11.62
1,14.71,-1.75,6.75,-0.43,0.97,-0.01,11.62
2,16.02,-0.13,6.75,0.19,-0.73,-0.01,11.62
3,12.85,1.35,6.75,1.05,0.23,-0.01,11.62
4,15.29,2.40,6.75,-0.39,0.24,-0.01,11.62
0,12.38,-1.00,6.75,0.57,-0.34,-0.01,11.63
1,14.59,-1.66,6.75,-1.23,0.91,-0.01,11.63
2,16.14,-0.15,6.75,1.24,-0.16,-0.01,11.63
3,12.89,1.37,6.75,0.38,0.19,-0.01,11.63
4,15.28,2.35,6.75,-0.10,-0.47,-0.01,11.63
0,12.41,-1.02,6.75,0.30,-0.23,-0.01,11.64
1,14.58,-1.57,6.75,-0.05,0.84,-0.01,11.64
2,16.22,-0.15,6.75,0.76,-0.06,-0.01,11.64
3,12.90,1.41,6.75,0.11,0.40,-0.01,11.64
4,15.28,2.33,6.75,-0.07,-0.21,-0.01,11.64
0,12.43,-0.96,6.75,0.25,0.63,-0.01,11.65
1,14.66,-1.50,6.75,0.79,0.73,-0.01,11.65
2,16.22,-0.22,6.75,0.06,-0.66,-0.01,11.65
3,12.89,1.46,6.75,-0.11,0.54,-0.01,11.65
4,15.27,2.32,6.75,-0.08,-0.12,-0.01,11.65
